race,N,mean,b_400_590,b_600_790,b_800_990,b_1000_1190,b_1200_1390,b_1400_1600
American Indian/Alaska Native,9237,874,6,31,40,18,6,1
Asian,217459,1229,0,3,13,25,33,26
Black/African American,250887,904,5,26,40,21,7,1
Hispanic/Latino,537624,928,4,22,39,24,9,2
Native Hawaiian/Other Pacific Islander,3053,922,4,24,38,23,9,1
White,743981,1077,1,7,27,35,23,7
Two or More Races,82032,1073,1,9,28,30,21,9
No Response,160692,1055,,,,,,
Total,2004965,1029,,,,,,
