year,race,score_range,test_takers,percent,mean_total
2024,American Indian/Alaska Native,all,14792,,881
2024,Asian,all,200385,,1228
2024,Black/African American,all,228688,,907
2024,Hispanic/Latino,all,483640,,939
2024,Native Hawaiian/Other Pacific Islander,all,3498,,926
2024,White,all,725962,,1083
2024,Two or More Races,all,70800,,1090
2024,No Response,all,246126,,949
2024,Total,all,1973891,,1024
2024,American Indian/Alaska Native,400-590,,1,
2024,American Indian/Alaska Native,600-790,,33,
2024,American Indian/Alaska Native,800-990,,42,
2024,American Indian/Alaska Native,1000-1190,,19,
2024,American Indian/Alaska Native,1200-1390,,4,
2024,American Indian/Alaska Native,1400-1600,,1,
2024,Asian,400-590,,0,
2024,Asian,600-790,,3,
2024,Asian,800-990,,13,
2024,Asian,1000-1190,,25,
2024,Asian,1200-1390,,31,
2024,Asian,1400-1600,,27,
2024,Black/African American,400-590,,2,
2024,Black/African American,600-790,,29,
2024,Black/African American,800-990,,41,
2024,Black/African American,1000-1190,,21,
2024,Black/African American,1200-1390,,7,
2024,Black/African American,1400-1600,,1,
2024,Hispanic/Latino,400-590,,1,
2024,Hispanic/Latino,600-790,,24,
2024,Hispanic/Latino,800-990,,39,
2024,Hispanic/Latino,1000-1190,,25,
2024,Hispanic/Latino,1200-1390,,9,
2024,Hispanic/Latino,1400-1600,,2,
2024,Native Hawaiian/Other Pacific Islander,400-590,,1,
2024,Native Hawaiian/Other Pacific Islander,600-790,,26,
2024,Native Hawaiian/Other Pacific Islander,800-990,,40,
2024,Native Hawaiian/Other Pacific Islander,1000-1190,,24,
2024,Native Hawaiian/Other Pacific Islander,1200-1390,,7,
2024,Native Hawaiian/Other Pacific Islander,1400-1600,,2,
2024,White,400-590,,0,
2024,White,600-790,,8,
2024,White,800-990,,26,
2024,White,1000-1190,,36,
2024,White,1200-1390,,23,
2024,White,1400-1600,,7,
2024,Two or More Races,400-590,,0,
2024,Two or More Races,600-790,,9,
2024,Two or More Races,800-990,,26,
2024,Two or More Races,1000-1190,,32,
2024,Two or More Races,1200-1390,,23,
2024,Two or More Races,1400-1600,,10,
2024,Total,400-590,15786,,
2024,Total,600-790,338320,,
2024,Total,800-990,601348,,
2024,Total,1000-1190,547126,,
2024,Total,1200-1390,329072,,
2024,Total,1400-1600,142239,,
2024,No Response,400-590,,2.5,
2024,No Response,600-790,,32.4,
2024,No Response,800-990,,31.8,
2024,No Response,1000-1190,,16.4,
2024,No Response,1200-1390,,9.5,
2024,No Response,1400-1600,,7.3,
