year,race,score_range,test_takers,percent,mean_total
2025,American Indian/Alaska Native,all,9237,,874
2025,Asian,all,217459,,1229
2025,Black/African American,all,250887,,904
2025,Hispanic/Latino,all,537624,,928
2025,Native Hawaiian/Other Pacific Islander,all,3053,,922
2025,White,all,743981,,1077
2025,Two or More Races,all,82032,,1073
2025,No Response,all,160692,,1055
2025,Total,all,2004965,,1029
2025,American Indian/Alaska Native,400-590,,6,
2025,American Indian/Alaska Native,600-790,,31,
2025,American Indian/Alaska Native,800-990,,40,
2025,American Indian/Alaska Native,1000-1190,,18,
2025,American Indian/Alaska Native,1200-1390,,6,
2025,American Indian/Alaska Native,1400-1600,,1,
2025,Asian,400-590,,0,
2025,Asian,600-790,,3,
2025,Asian,800-990,,13,
2025,Asian,1000-1190,,25,
2025,Asian,1200-1390,,33,
2025,Asian,1400-1600,,26,
2025,Black/African American,400-590,,5,
2025,Black/African American,600-790,,26,
2025,Black/African American,800-990,,40,
2025,Black/African American,1000-1190,,21,
2025,Black/African American,1200-1390,,7,
2025,Black/African American,1400-1600,,1,
2025,Hispanic/Latino,400-590,,4,
2025,Hispanic/Latino,600-790,,22,
2025,Hispanic/Latino,800-990,,39,
2025,Hispanic/Latino,1000-1190,,24,
2025,Hispanic/Latino,1200-1390,,9,
2025,Hispanic/Latino,1400-1600,,2,
2025,Native Hawaiian/Other Pacific Islander,400-590,,4,
2025,Native Hawaiian/Other Pacific Islander,600-790,,24,
2025,Native Hawaiian/Other Pacific Islander,800-990,,38,
2025,Native Hawaiian/Other Pacific Islander,1000-1190,,23,
2025,Native Hawaiian/Other Pacific Islander,1200-1390,,9,
2025,Native Hawaiian/Other Pacific Islander,1400-1600,,1,
2025,White,400-590,,1,
2025,White,600-790,,7,
2025,White,800-990,,27,
2025,White,1000-1190,,35,
2025,White,1200-1390,,23,
2025,White,1400-1600,,7,
2025,Two or More Races,400-590,,1,
2025,Two or More Races,600-790,,9,
2025,Two or More Races,800-990,,28,
2025,Two or More Races,1000-1190,,30,
2025,Two or More Races,1200-1390,,21,
2025,Two or More Races,1400-1600,,9,
2025,Total,400-590,52472,,
2025,Total,600-790,281174,,
2025,Total,800-990,609159,,
2025,Total,1000-1190,554819,,
2025,Total,1200-1390,357574,,
2025,Total,1400-1600,149767,,
2025,No Response,400-590,,5.9,
2025,No Response,600-790,,17.5,
2025,No Response,800-990,,26.2,
2025,No Response,1000-1190,,19.5,
2025,No Response,1200-1390,,19.1,
2025,No Response,1400-1600,,12.7,
