year,race,score_range,test_takers,percent,mean_total
2020,American Indian/Alaska Native,all,14050,,902
2020,Asian,all,223451,,1217
2020,Black/African American,all,261326,,927
2020,Hispanic/Latino,all,569370,,969
2020,Native Hawaiian/Other Pacific Islander,all,5107,,948
2020,White,all,909987,,1104
2020,Two or More Races,all,89656,,1091
2020,No Response,all,125513,,996
2020,Total,all,2198460,,1051
2020,American Indian/Alaska Native,400-590,,1,
2020,American Indian/Alaska Native,600-790,,30,
2020,American Indian/Alaska Native,800-990,,41,
2020,American Indian/Alaska Native,1000-1190,,21,
2020,American Indian/Alaska Native,1200-1390,,6,
2020,American Indian/Alaska Native,1400-1600,,1,
2020,Asian,400-590,,0,
2020,Asian,600-790,,3,
2020,Asian,800-990,,13,
2020,Asian,1000-1190,,28,
2020,Asian,1200-1390,,32,
2020,Asian,1400-1600,,24,
2020,Black/African American,400-590,,1,
2020,Black/African American,600-790,,24,
2020,Black/African American,800-990,,44,
2020,Black/African American,1000-1190,,24,
2020,Black/African American,1200-1390,,7,
2020,Black/African American,1400-1600,,1,
2020,Hispanic/Latino,400-590,,0,
2020,Hispanic/Latino,600-790,,18,
2020,Hispanic/Latino,800-990,,41,
2020,Hispanic/Latino,1000-1190,,30,
2020,Hispanic/Latino,1200-1390,,10,
2020,Hispanic/Latino,1400-1600,,2,
2020,Native Hawaiian/Other Pacific Islander,400-590,,1,
2020,Native Hawaiian/Other Pacific Islander,600-790,,20,
2020,Native Hawaiian/Other Pacific Islander,800-990,,43,
2020,Native Hawaiian/Other Pacific Islander,1000-1190,,27,
2020,Native Hawaiian/Other Pacific Islander,1200-1390,,7,
2020,Native Hawaiian/Other Pacific Islander,1400-1600,,2,
2020,White,400-590,,0,
2020,White,600-790,,5,
2020,White,800-990,,23,
2020,White,1000-1190,,40,
2020,White,1200-1390,,25,
2020,White,1400-1600,,7,
2020,Two or More Races,400-590,,0,
2020,Two or More Races,600-790,,6,
2020,Two or More Races,800-990,,27,
2020,Two or More Races,1000-1190,,37,
2020,Two or More Races,1200-1390,,22,
2020,Two or More Races,1400-1600,,8,
2020,Total,400-590,6829,,
2020,Total,600-790,258103,,
2020,Total,800-990,653184,,
2020,Total,1000-1190,722696,,
2020,Total,1200-1390,412655,,
2020,Total,1400-1600,144993,,
2020,No Response,400-590,,3.2,
2020,No Response,600-790,,24.0,
2020,No Response,800-990,,27.3,
2020,No Response,1000-1190,,20.0,
2020,No Response,1200-1390,,13.9,
2020,No Response,1400-1600,,5.0,
