score,user_pct
400,0
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,0
500,0
510,0
520,0
530,1
540,1
550,1
560,1
570,1
580,1
590,1
600,1
610,2
620,2
630,2
640,2
650,3
660,3
670,3
680,4
690,5
700,5
710,6
720,7
730,8
740,9
750,11
760,12
770,13
780,15
790,16
800,18
810,19
820,21
830,22
840,24
850,25
860,27
870,28
880,30
890,31
900,33
910,34
920,36
930,37
940,39
950,41
960,42
970,44
980,45
990,47
1000,48
1010,50
1020,51
1030,53
1040,54
1050,56
1060,57
1070,59
1080,60
1090,62
1100,63
1110,65
1120,66
1130,68
1140,69
1150,70
1160,71
1170,73
1180,74
1190,75
1200,76
1210,77
1220,79
1230,80
1240,81
1250,82
1260,83
1270,84
1280,84
1290,85
1300,86
1310,87
1320,88
1330,89
1340,89
1350,90
1360,91
1370,91
1380,92
1390,93
1400,93
1410,94
1420,94
1430,95
1440,95
1450,96
1460,96
1470,97
1480,97
1490,97
1500,98
1510,98
1520,98
1530,99
1540,99
1550,99
1560,99.5
1570,99.5
1580,99.5
1590,99.5
1600,99.5
