score,user_pct
400,0
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,0
500,0
510,0
520,0
530,0
540,0
550,0
560,0
570,0
580,0
590,0
600,0
610,0
620,1
630,1
640,1
650,1
660,1
670,2
680,2
690,3
700,3
710,4
720,5
730,6
740,7
750,8
760,9
770,10
780,12
790,13
800,14
810,16
820,17
830,19
840,20
850,22
860,23
870,25
880,26
890,28
900,29
910,31
920,32
930,34
940,36
950,37
960,39
970,40
980,42
990,43
1000,45
1010,47
1020,48
1030,50
1040,52
1050,53
1060,55
1070,56
1080,58
1090,60
1100,61
1110,63
1120,64
1130,66
1140,67
1150,69
1160,70
1170,71
1180,73
1190,74
1200,75
1210,76
1220,78
1230,79
1240,80
1250,81
1260,82
1270,83
1280,84
1290,85
1300,86
1310,87
1320,87
1330,88
1340,89
1350,90
1360,90
1370,91
1380,92
1390,92
1400,93
1410,94
1420,94
1430,95
1440,95
1450,96
1460,96
1470,96
1480,97
1490,97
1500,98
1510,98
1520,98
1530,99
1540,99
1550,99
1560,99
1570,99.5
1580,99.5
1590,99.5
1600,99.5
